,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,full_name
0,100001,Gardnar,Mulloy,R,1913-11-22,USA,185.0,Q54544,Gardnar Mulloy
1,100002,Pancho,Segura,R,1921-06-20,ECU,168.0,Q54581,Pancho Segura
2,100003,Frank,Sedgman,R,1927-10-02,AUS,180.0,Q962049,Frank Sedgman
3,100004,Giuseppe,Merlo,R,1927-10-11,ITA,,Q1258752,Giuseppe Merlo
4,100005,Richard,Gonzalez,R,1928-05-09,USA,188.0,Q53554,Richard Gonzalez
5,100006,Grant,Golden,R,1929-08-21,USA,175.0,Q3115390,Grant Golden
6,100007,Abe,Segal,L,1930-10-23,RSA,,Q1258527,Abe Segal
7,100008,Kurt,Nielsen,R,1930-11-19,DEN,,Q552261,Kurt Nielsen
8,100009,Istvan,Gulyas,R,1931-10-14,HUN,,Q51066,Istvan Gulyas
9,100010,Luis,Ayala,R,1932-09-18,CHI,170.0,Q1275397,Luis Ayala
10,100011,Torben,Ulrich,L,1928-10-04,DEN,180.0,Q785404,Torben Ulrich
11,100012,Nicola,Pietrangeli,R,1933-09-11,ITA,178.0,Q709909,Nicola Pietrangeli
12,100013,Neale,Fraser,L,1933-10-03,AUS,185.0,Q715173,Neale Fraser
13,100014,Trevor,Fancutt,R,1934-07-14,RSA,,Q3538577,Trevor Fancutt
14,100015,Sammy,Giammalva,R,1934-08-01,USA,180.0,Q963700,Sammy Giammalva
15,100016,Ken,Rosewall,R,1934-11-02,AUS,175.0,Q312728,Ken Rosewall
16,100017,Mal,Anderson,R,1935-03-03,AUS,,Q963687,Mal Anderson
17,100018,Barry,Mackay,R,1935-08-31,USA,190.0,Q1258939,Barry Mackay
18,100019,Wieslaw,Gasiorek,R,1936-01-13,POL,,Q1258736,Wieslaw Gasiorek
19,100020,Alejandro,Olmedo,R,1936-03-24,PER,178.0,Q734544,Alejandro Olmedo
20,100021,Ashley,Cooper,R,1936-09-15,AUS,178.0,Q712208,Ashley Cooper
21,100022,Roy,Emerson,R,1936-11-03,AUS,183.0,Q312545,Roy Emerson
22,100023,Ramanathan,Krishnan,R,1937-04-11,IND,,Q1559952,Ramanathan Krishnan
23,100024,Jan Erik,Lundquist,R,1937-04-14,SWE,191.0,Q1341605,Jan Erik Lundquist
24,100025,Barry,Phillips Moore,R,1937-07-09,AUS,173.0,Q1563886,Barry Phillips Moore
25,100026,Andres,Gimeno,R,1937-08-03,ESP,185.0,Q315958,Andres Gimeno
26,100027,Gene,Scott,R,1937-12-28,USA,185.0,Q1282493,Gene Scott
27,100028,Manuel,Santana,R,1938-05-10,ESP,170.0,Q445602,Manuel Santana
28,100029,Rod,Laver,L,1938-08-09,AUS,173.0,Q105550,Rod Laver
29,100030,Fred,Stolle,R,1938-10-08,AUS,190.0,Q54671,Fred Stolle
30,100031,Dimitri,Sturdza,R,1938-11-10,SUI,,Q20431255,Dimitri Sturdza
31,100032,Patricio,Rodriguez Chi,R,1938-12-20,CHI,188.0,Q7145979,Patricio Rodriguez Chi
32,100033,Wilhelm,Bungert,R,1939-04-01,GER,188.0,Q77579,Wilhelm Bungert
33,100034,Christian,Kuhnke,L,1939-04-13,GER,,Q461558,Christian Kuhnke
34,100035,Ion,Tiriac,R,1939-05-09,ROU,185.0,Q924245,Ion Tiriac
35,100036,Rudy,Hernando,R,1939-06-10,USA,,,Rudy Hernando
36,100037,Nikola,Pilic,L,1939-08-27,CRO,191.0,Q452365,Nikola Pilic
37,100038,Jaime,Pinto Bravo,R,1939-10-09,CHI,178.0,Q18390167,Jaime Pinto Bravo
38,100039,Boro,Jovanovic,R,1939-10-21,CRO,,Q1259703,Boro Jovanovic
39,100040,Bob,Hewitt,R,1940-01-12,RSA,190.0,Q52453,Bob Hewitt
40,100041,Ned,Neely,R,1940-01-14,USA,,,Ned Neely
41,100042,Ryoichi,Mori,R,1940-01-14,JPN,,,Ryoichi Mori
42,100043,Zdenek,Slizek,R,1940-02-19,CZE,,,Zdenek Slizek
43,100044,Sergei,Likhachev,R,1940-03-20,RUS,,Q3479599,Sergei Likhachev
44,100045,John,Paish,L,1940-03-23,GBR,,Q13512828,John Paish
45,100046,Larry,Nagler,R,1940-07-01,USA,,,Larry Nagler
46,100047,Bob,Carmichael,R,1940-07-04,AUS,183.0,Q1565064,Bob Carmichael
47,100048,Earl Butch,Buchholz,R,1940-09-16,USA,188.0,Q195386,Earl Butch Buchholz
48,100049,Jim,Mcmanus,L,1940-09-16,USA,175.0,Q12957721,Jim Mcmanus
49,100050,Martin,Mulligan,R,1940-10-18,AUS,,Q1291938,Martin Mulligan
50,100051,Premjit,Lall,R,1940-10-20,IND,,Q1268979,Premjit Lall
51,100052,Keishiro,Yanagi,R,1941-02-24,JPN,,Q87798987,Keishiro Yanagi
52,100053,Colin,Stubs,R,1941-02-27,AUS,,,Colin Stubs
53,100054,Jose Edison,Mandarino,R,1941-03-26,BRA,173.0,,Jose Edison Mandarino
54,100055,Cliff,Drysdale,R,1941-05-26,RSA,188.0,Q582003,Cliff Drysdale
55,100056,Harald,Elschenbroich,R,1941-06-19,GER,,Q5653740,Harald Elschenbroich
56,100057,Pierre,Barthes,R,1941-09-13,FRA,,Q1558013,Pierre Barthes
57,100058,Roger,Taylor,L,1941-10-14,GBR,183.0,Q1282421,Roger Taylor
58,100059,Isao,Watanabe,R,1941-11-23,JPN,,Q87795355,Isao Watanabe
59,100060,Marty,Riessen,R,1941-12-04,USA,185.0,Q1289530,Marty Riessen
60,100061,Tom,Edlefsen,R,1941-12-12,USA,188.0,Q7815700,Tom Edlefsen
61,100062,Francois,Jauffret,R,1942-02-09,FRA,180.0,Q1260078,Francois Jauffret
62,100063,Billy,Higgins,R,1942-04-02,USA,,,Billy Higgins
63,100064,Juan,Gisbert,R,1942-04-05,ESP,,Q1290022,Juan Gisbert
64,100065,Terry,Ryan,R,1942-04-27,RSA,,Q23020633,Terry Ryan
65,100066,Frank,Froehling,R,1942-05-19,USA,190.0,Q3082619,Frank Froehling
66,100067,Frew,Mcmillan,R,1942-05-20,RSA,183.0,Q962512,Frew Mcmillan
67,100068,Herb,Fitzgibbon,R,1942-07-14,USA,,Q1565884,Herb Fitzgibbon
68,100069,Dennis,Ralston,R,1942-07-27,USA,188.0,Q1189457,Dennis Ralston
69,100070,Jan,Kukal,R,1942-09-13,CZE,,Q1258763,Jan Kukal
70,100071,Jean Claude,Barclay,R,1942-12-30,FRA,,Q1561962,Jean Claude Barclay
71,100072,Bailey,Brown,R,1943-06-15,USA,,,Bailey Brown
72,100073,Mark,Cox,L,1943-07-05,GBR,185.0,Q1565058,Mark Cox
73,100074,Arthur,Ashe,R,1943-07-10,USA,185.0,Q53325,Arthur Ashe
74,100075,Owen,Davidson,L,1943-10-04,AUS,185.0,Q976174,Owen Davidson
75,100076,Milan,Holecek,R,1943-10-23,CZE,190.0,Q1563971,Milan Holecek
76,100077,Daniel,Contet,R,1943-11-03,FRA,,Q1563980,Daniel Contet
77,100078,Clark,Graebner,R,1943-11-04,USA,188.0,Q1269127,Clark Graebner
78,100079,Bill,Bowrey,R,1943-12-25,AUS,,Q577531,Bill Bowrey
79,100080,Szabolcz,Baranyi,R,1944-01-31,HUN,,Q13512888,Szabolcz Baranyi
80,100081,Charlie,Pasarell,R,1944-02-12,USA,185.0,Q1269243,Charlie Pasarell
81,100082,Roger,Dowdeswell,R,1944-02-16,ZIM,,Q7358114,Roger Dowdeswell
82,100083,Nicola,Spear,R,1944-02-22,SRB,,Q1258505,Nicola Spear
83,100084,Tom,Okker,R,1944-02-22,NED,178.0,Q455411,Tom Okker
